FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.002433333858776925,0.01360825483284636,0.0016292648984751192,0.010630616574861817,0.0050911117051516,0.0,0.003233112711005202,0.0021615145707513,0.0
Hydrogen,2030,0.0007290507609989076,0.0,0.0,0.0005019750136645009,0.0,6.093470415604701e-10,0.00020300589992990013,0.0,0.0
Methanol,2030,0.0,0.00014141890111660062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.008878883495493739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0006456721905622079,0.00019354543187070033,0.0,0.0,4.0777307213160604e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0019341040459175032,0.0,0.0,0.00015750171254460014,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.009632717318715716,0.0001257284793922,0.0016672323111386958,0.007393509073691207,0.0002385212398292,0.00017717401929850002
Fossil Liquids,2030,0.0,0.0,0.0,0.09048945529490786,0.0008854688110969,0.015237604362658563,0.047009585516313034,0.0014437695664922,0.0012666715547088002
Fossil Residuals,2030,0.006561456848990468,7.162270776461843e-19,0.010287498761156423,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.003434581101590541,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0004973832273440059,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0097238414687663,0.0226285572294567,0.0164944001791283,0.1133824136799381,0.0061023089956407,0.0169048372831443,0.0580374922206971,0.0038438053770727,0.0014438455740073
Power,2040,0.002512397011225693,0.013798238534260642,0.002798418845345877,0.01618267850737612,0.006139555936188435,0.0,0.007644904445461938,0.0023440423961977384,0.00017242732503669318
Hydrogen,2040,0.0012153453431821325,0.0012556972305274457,0.0007421388163059243,0.0004705485178826384,0.0,5.910013688690156e-10,0.0008041862602067176,0.0,7.389742501572568e-06
Methanol,2040,0.0,0.00014339323850328902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.009002840841356231,0.00014842776326118485,0.0,0.0,0.0,0.0,0.0,5.911794001258054e-05
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.000520789735498628,9.03536860268554e-05,0.0,0.0,2.189092606934192e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0009029065063382446,0.0,0.0,8.455336020804757e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0026919245678064104,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0044968848284786065,0.0001201335909913133,0.0013220479985528847,0.0039691380227516995,0.00018785199477353633,0.00013546561258389187
Fossil Liquids,2040,0.0,0.0,0.0,0.042243600137870235,0.0008460656527631458,0.01208280586682897,0.025236667926809196,0.0011370685195712337,0.0009684853274797894
Fossil Residuals,2040,0.004993623748234478,5.9374405710192e-19,0.008297745879530695,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0027702828301904244,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.00033024913002249675,0.0008371314870182973,0.000994893081938366,0.00035431389072220187,2.6020357762706052e-05,0.0002991027297562678,0.00034760219567535664,3.3773683130891674e-05,7.389742501572568e-06
Overall Demand,2040,0.0090516152326648,0.0250373013316659,0.0162726969520711,0.0647412860746949,0.0071317755377056,0.0163958817539459,0.0381089431371823,0.0037027365936734,0.0013502756901161
Power,2050,0.00347689456313932,0.010554152061996327,0.0080836631039624,0.03944267306341769,0.00777589702871919,0.0,0.01936056358037382,0.0034700693888494246,0.00086329045417531
Hydrogen,2050,0.00347689456313932,0.005265007972223276,0.0040418315519812,0.000830372064493004,0.0,5.654403295534199e-10,0.00227771336239692,0.0,3.699816232179901e-05
Methanol,2050,0.0,0.00010968023491318142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.006886194277168001,0.0008083663103962401,0.0,0.0,0.0,0.0,0.0,0.00029598529857439206
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.014118078042939844,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.00173844728156966,0.003510005314815518,0.0032334652415849604,0.001245558096739506,0.00015869177609631,0.0015686753381044271,0.00113885668119846,0.000182635230992075,3.699816232179901e-05
Overall Demand,2050,0.0086922364078483,0.0263250398611163,0.0161673262079248,0.0415186032246502,0.0079345888048155,0.0156867539464846,0.0227771336239692,0.0036527046198415,0.0012332720773933
