FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0065807907608768,0.0007351002290916,5.0227868240127864e-05,0.0011557510756058193,0.00022779036047848104,0.0,0.00037917251374319886,3.01996861114036e-05,0.0
Hydrogen,2030,0.0,0.0,0.0,5.283656111244102e-05,0.0,2.316635748153416e-10,2.4598635870567505e-05,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.00020703021333700502,1.616663178346216e-05,0.0,0.0,4.303970734896337e-06,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0002034442821474034,0.0,0.0,1.8069839566955036e-05,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0009583835277984161,5.625438470382084e-06,0.0006338538975373925,0.0008562968738090977,3.332508913526928e-06,1.782381275224542e-05
Fossil Liquids,2030,0.0,0.0,0.0,0.009451835382458258,3.961831351453688e-05,0.005793082853467832,0.005393546397116984,2.017168346457447e-05,0.00012742791916735461
Fossil Residuals,2030,0.0,0.0,0.0026457983909748644,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0008830572976137215,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,8.694738566018153e-05,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0065807907608768,0.0007351002290916,0.0038730611558259,0.0118384174609058,0.0002730341124634,0.0064269369826688,0.0066759882308417,5.3703878489505e-05,0.0001452517319196
Power,2040,0.0058737214221873165,0.00046630519983053637,0.00039770863748232505,0.0016876867101540934,0.00027470064317521053,0.0,0.000870225001422872,3.2749880826566946e-05,1.7346292458632307e-05
Hydrogen,2040,0.0004286066828540549,2.5519791099813978e-05,0.00017814628429571694,4.8655766507419725e-05,0.0,2.2468885625888976e-10,9.179615167945986e-05,0.0,7.434125339413848e-07
Methanol,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,1.2759895549906989e-05,3.562925685914339e-05,0.0,0.0,0.0,0.0,0.0,5.947300271531078e-06
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0001707095657946137,7.444158911860525e-06,0.0,0.0,2.2763758654104916e-06,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,9.367885570103144e-05,0.0,0.0,9.557162261477773e-06,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0010234247907633274,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0004413015261929255,5.375107752949818e-06,0.0005026205832359053,0.0004528965593007064,2.6245815569921215e-06,1.3627921986662001e-05
Fossil Liquids,2040,0.0,0.0,0.0,0.0043522340050907715,3.785530767992202e-05,0.0045936811209276425,0.0028526538872166688,1.5886597686118178e-05,9.743020561729186e-05
Fossil Residuals,2040,0.0,0.0,0.002181628889925292,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0007281368521898665,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.00021430334142702746,1.7013194066542653e-05,0.000214210671633642,3.648961415629852e-05,1.164222475917625e-06,0.00011371386564036973,3.9392950170104616e-05,4.718703464600818e-07,7.434125339413848e-07
Overall Demand,2040,0.0065166314464684,0.0005215980805468,0.0039061701581806,0.0066674906367144,0.000319095281084,0.0062334405852561,0.0043187980879167,5.173293041613732e-05,0.000135838545402
Power,2050,0.0040244265699919375,0.00015972088524830302,0.0019837051999211,0.00416273962034925,0.000347915050738864,0.0,0.002161425681088365,4.8482211383668566e-05,8.684753818278999e-05
Hydrogen,2050,0.001609770627996775,4.7916265574490906e-05,0.00099185259996055,8.763662358629999e-05,0.0,2.1497097574094875e-10,0.00025428537424569003,0.0,3.722037350691001e-06
Methanol,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,2.3958132787245453e-05,0.00019837051999211004,0.0,0.0,0.0,0.0,0.0,2.9776298805528007e-05
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.005367457632310312,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0008048853139983875,3.194417704966061e-05,0.0007934820799684402,0.00013145493537944998,7.100307157936e-06,0.0005963841813678124,0.00012714268712284501,2.5516953359825563e-06,3.722037350691001e-06
Overall Demand,2050,0.0064390825119871,0.0002635394606597,0.0039674103998422,0.004381831179315,0.0003550153578968,0.0059638420286491,0.0025428537424569,5.103390671965112e-05,0.0001240679116897
