FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.007780804891708115,0.05047885156377295,0.0005869991914447078,0.01690386163585621,0.0073142933863905,0.0,0.0088639922243538,0.0012424747403241,0.0
Hydrogen,2030,0.004849937118253809,0.0,0.0,0.0007355988565083004,0.0,2.747231989446971e-09,0.0005684959714187,0.0,0.0
Methanol,2030,0.0,0.015532770043957015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.041093002564024435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.001117919891598615,0.00014450824431180007,0.0,0.0,0.0001045785519216,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0028298084922793016,0.0,0.0,0.0004257505736205,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.01268335088779421,0.000180631468834,0.007516691846521991,0.0201073086329636,0.0001371059994361,0.025997385434112907
Fossil Liquids,2030,0.0,0.0,0.0,0.13539008011380158,0.0012721344657017,0.06869851052436474,0.1270774641633629,0.0008299029030332,0.2440411302673871
Fossil Residuals,2030,0.04364943406428468,0.0,0.010855127959413144,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,8.820543722503355e-05,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0562801760742466,0.1071046241717544,0.0126482524796815,0.1686872082305514,0.0087670593209262,0.0762152051181187,0.1571475901176411,0.0022094836427934,0.2700385157015
Power,2040,0.00908193267448258,0.04705943310328868,0.0010109770877764783,0.02255356425215082,0.008857954121199232,0.0,0.017765300234839604,0.0013473947883274992,0.017629613794608028
Hydrogen,2040,0.009777593765787075,0.00910753928624415,0.0006965489429730391,0.002943423157250032,0.0,2.6645207995201174e-09,0.0058959536085864605,0.0,0.0214201682669128
Methanol,2040,0.0,0.014480586030545719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.0383093779923237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0007883253160217313,6.66536526121597e-05,0.0,0.0,5.560976512822502e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0013052339892549792,0.0,0.0,0.00022639335664154466,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.012136501503178609,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0058501275692554415,0.00017259341003698122,0.005960433555085162,0.010692084465637814,0.00010798046961323943,0.020809499386596545
Fossil Liquids,2040,0.0,0.0,0.0,0.06244794828152867,0.001215524774715787,0.05447514886528968,0.06757358756040927,0.0006536060097405225,0.19534171093758698
Fossil Residuals,2040,0.03630145841121256,0.0,0.007654727537608921,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0020887630497321797,0.004553769643122075,0.0007587489089078307,0.0,0.0,0.0013485001670198453,0.0,1.9413678142939056e-05,0.009180072114391202
Overall Demand,2040,0.0572497479012144,0.1135107060555243,0.010909327793288,0.0951669509020521,0.010246072305952,0.0739205867550941,0.1022089289912429,0.0021283949458242,0.2643810645000956
Power,2050,0.0146861574492804,0.03323032826844823,0.00250474661109207,0.055794949361932515,0.0113994572855403,0.0,0.04235620599105728,0.001994653943655135,0.09436137934598621
Hydrogen,2050,0.032309546388416883,0.03525359343605239,0.002922204379607415,0.00984616753445868,0.0,2.5492792374843196e-09,0.018152659710453118,0.0,0.11465007952171959
Methanol,2050,0.0,0.010225253378177913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.027051605225478566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.06365114291807825,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.01174892595942432,0.017626796718026194,0.002922204379607415,0.0,0.0,0.007072349213119806,0.0,0.000104981786508165,0.04913574836645125
Overall Demand,2050,0.0587446297971216,0.1233875770261833,0.0083491553703069,0.0656411168963912,0.0113994572855403,0.0707234946804773,0.0605088657015104,0.0020996357301633,0.258147207234157
