FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0,0.0002429683964623,0.00023434698039500598,0.0009961587849847064,0.0,0.0,0.00027926313308370847,0.0,0.0
Hydrogen,2030,0.0,0.0,0.0,4.599509708301909e-05,0.0,6.723258210591225e-10,1.8806909750479254e-05,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0,1.5445004189216355e-05,0.0,0.0,2.7525220459029394e-06,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0001771454336565011,0.0,0.0,1.2958092238573125e-05,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0008600991409688054,0.0,0.0018395483296546984,0.0006212458405224189,0.0,0.0013020353565468
Fossil Liquids,2030,0.0,0.0,0.0,0.008350637456186551,0.0,0.016812479860184686,0.003867985153064917,0.0,0.0127521802543812
Fossil Residuals,2030,0.0,0.0,0.00274681481755717,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0006371951440119162,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0003052016463952078,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0,0.0002429683964623,0.0039235585883593,0.0104454809170688,0.0,0.0186520288621652,0.004803011650706,0.0,0.014054215610928
Power,2040,0.0,0.0002860937692606761,0.0004941772712560223,0.0014951518191829857,0.0,0.0,0.0006178154133547806,0.0,0.000821062748916669
Hydrogen,2040,0.0,1.304770142877842e-05,0.00015109070835236441,4.3131051255654415e-05,0.0,6.520840399165161e-10,6.539230771334723e-05,0.0,0.00017045059123607553
Methanol,2040,0.0,7.828620857267053e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0006818023649443021
Ammonia,2040,0.0,2.6095402857556843e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0006818023649443021
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0,7.193235060703215e-06,0.0,0.0,1.4287874822946714e-06,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,8.250232428626306e-05,0.0,0.0,6.726325775465151e-06,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0029701471769598775,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.00040057582508246873,0.0,0.0014586876533122784,0.0003224781729495233,0.0,0.0010486174208794677
Fossil Liquids,2040,0.0,0.0,0.0,0.0038891603649419486,0.0,0.013331618636089962,0.0020078054512322227,0.0,0.010270196044755908
Fossil Residuals,2040,0.0,0.0,0.0018962199476286366,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0004398775392081376,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0,1.0438161143022737e-05,0.00033156367197393927,3.256448346627602e-05,0.0,0.00033001635299554196,2.7814980012466396e-05,0.0,0.00017045059123607553
Overall Demand,2040,0.0,0.0003200177929755,0.0033129291384191,0.0059502791032763,0.0,0.0180904704714417,0.0030494614385201,0.0,0.0138443821269128
Power,2050,0.0,0.0002306594978652121,0.001557678405489525,0.003699903342885015,0.0,0.0,0.0014966664173147548,0.0,0.00443168195242906
Hydrogen,2050,0.0,5.766487446630303e-05,0.000708035638858875,7.7892701955474e-05,0.0,6.238811512949929e-10,0.00017607840203703,0.0,0.000920006187052634
Methanol,2050,0.0,3.459892467978182e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.003680024748210536
Ammonia,2050,0.0,1.1532974893260607e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.003680024748210536
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.015577245419438654,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0,4.613189957304243e-05,0.0005664285110871,0.00011683905293321101,0.0,0.001730805046604295,8.8039201018515e-05,0.0,0.000920006187052634
Overall Demand,2050,0.0,0.0003805881714776,0.0028321425554355,0.0038946350977737,0.0,0.0173080510899241,0.0017607840203703,0.0,0.0136317438229554
