FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0,0.002827009255588,0.001063006228755613,0.008348367252065919,0.0007252559397564506,0.0,0.003435218601568204,1.3794918347184358e-05,0.0
Hydrogen,2030,0.0,0.0,0.0,0.0003866335395407008,0.0,1.258167754132804e-09,0.00023024267849320026,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.00012760041214860158,0.00012967772028150027,0.0,0.0,3.4525130438738924e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0014890748389714034,0.0,0.0,0.0001599571264707002,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.007128437630251716,1.791069058325809e-05,0.0034259702475396042,0.007656994072575008,1.522257158030819e-06,0.0033410621371624
Fossil Liquids,2030,0.0,0.0,0.0,0.06891405910716845,0.0001261397415552914,0.03130859249984614,0.04774679108133725,9.214225780114264e-06,0.0326787456338598
Fossil Residuals,2030,0.0,0.0,0.012331725413266052,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0017019726846892208,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.001242591300436415,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0,0.002827009255588,0.0164668960392959,0.0863962500882797,0.000869306371895,0.0347345640055535,0.0592637286908831,2.453140128532944e-05,0.0360198077710222
Power,2040,0.0,0.0022510894882752618,0.002613256587288589,0.012298240193861363,0.0008746123966758914,0.0,0.007636739560872302,1.4959822105962675e-05,0.0021119154577809458
Hydrogen,2040,0.0,0.0001026640447583993,0.0007783928843817831,0.0003561807561092922,0.0,1.2203414647302036e-09,0.0008079449031992688,0.0,0.0004359684784121131
Methanol,2040,0.0,6.159842685503958e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0017438739136484524
Ammonia,2040,0.0,2.0532808951679863e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0017438739136484524
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0001081286808913494,5.9815543268785314e-05,0.0,0.0,1.796630767940514e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0006868552305484979,0.0,0.0,8.323904683822798e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.00553137090383776,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.003288085020199015,1.7113668973828956e-05,0.0027167753584205518,0.003984573256033406,1.1988829334408454e-06,0.002690274328038719
Fossil Liquids,2040,0.0,0.0,0.0,0.031787510417396844,0.0001205265520827789,0.02482753978132124,0.02484664151504697,7.256840918350277e-06,0.026313425743691006
Fossil Residuals,2040,0.0,0.0,0.010449912971267796,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0014422528752825103,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0,8.213123580671945e-05,0.0016756870678659697,0.00026676147448580255,3.7067383540007585e-06,0.0006145967670930845,0.0003440652079459261,2.1554571381509902e-07,0.0004359684784121131
Overall Demand,2040,0.0,0.0025180160046471,0.017067631066978,0.0487434486358696,0.0010159593560865,0.0336902840310141,0.0377211697976155,2.3631091671568897e-05,0.0354753003136318
Power,2050,0.0,0.0013165802920691516,0.00975937140809587,0.030070156570982696,0.001107717888277042,0.0,0.01856255182090582,2.2146195323404153e-05,0.011396120694981528
Hydrogen,2050,0.0,0.0003291450730172879,0.00443607791277085,0.000633055927810162,0.0,1.1674686192472338e-09,0.00218382962598892,0.0,0.0023525323330945676
Methanol,2050,0.0,0.00019748704381037272,0.0,0.0,0.0,0.0,0.0,0.0,0.00941012933237827
Ammonia,2050,0.0,6.582901460345759e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00941012933237827
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.029007548486172787,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0,0.00026331605841383034,0.0035488623302166802,0.000949583891715243,2.2606487515858002e-05,0.003223060942908088,0.00109191481299446,1.1655892275475872e-06,0.0023525323330945676
Overall Demand,2050,0.0,0.0021723574819141,0.0177443116510834,0.0316527963905081,0.0011303243757929,0.0322306105965495,0.0218382962598892,2.3311784550951743e-05,0.0349214440259272
