FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0342337702644907,0.04931620788012067,0.008172352437924314,0.10168515081457913,0.049291755710241504,0.0,0.0387515575752201,0.005883159839443101,0.0
Hydrogen,2030,0.0048746542086085,0.0,0.0,0.004516351395282502,0.0,2.0570459433360498e-08,0.0024604609291613,0.0,0.0
Methanol,2030,0.0,0.0006129557190792009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.017669987899884627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.00509316210483091,0.0010808949003080005,0.0,0.0,0.00047225347721350006,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.017380344910632405,0.0,0.0,0.0018739377393404003,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.07891776393479052,0.0012172935600198002,0.016641489133803904,0.08824496398079959,0.0006492015358147,0.0113650564560906
Fossil Liquids,2030,0.0,0.0,0.0,0.8151922188048351,0.008573041577827002,0.14505820046866735,0.5593229143354757,0.0039296182620895,0.1066088414847125
Fossil Residuals,2030,0.0438718878774764,0.0,0.08235218961517685,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.013427574177471724,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.004057081185744207,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0829803123505756,0.0675991514990845,0.113102359521148,1.0187727247604277,0.0590820908480883,0.1616997101729307,0.6911260880372105,0.0104619796373473,0.1179738979408031
Power,2040,0.025401184532569402,0.035056288998250126,0.01229200389792416,0.13532331232274364,0.05969464001089916,0.0,0.0783661512652573,0.006379959808676661,0.007716057101497994
Hydrogen,2040,0.009134769692224572,0.004383016614490498,0.006896431764933702,0.017718852423706865,0.0,2.040255506953219e-08,0.02602803911562218,0.0,0.009346593863518327
Methanol,2040,0.0,0.0004357178654815523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2040,0.0,0.012560661677793678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.003976618750372457,0.0004959891022567095,0.0,0.0,0.00025227581141118276,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.007975300527997808,0.0,0.0,0.0010010496196143682,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.02633164067442966,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.03621291105635717,0.0011631242767169935,0.013494601918641165,0.04714008676561296,0.0005112911688710039,0.009096149444370486
Fossil Liquids,2040,0.0,0.0,0.0,0.3740663931862872,0.008191543200403153,0.1176278549725957,0.2987879366975171,0.00309484652084073,0.0853255729949731
Fossil Residuals,2040,0.026614167486852507,0.0,0.06429861343846083,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.010483927695037268,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.002246414535077519,0.002191508307245249,0.010064103396612381,0.0,0.0,0.0029257378527144068,0.0,9.192442138230554e-05,0.004005683084364998
Overall Demand,2040,0.063396536246724,0.0546271934632611,0.1080116989433408,0.5717927586193494,0.0690493074880193,0.160379855820936,0.4515755392750351,0.0100780219197707,0.1154900564887249
Power,2050,0.0148623440108464,0.01683187195588001,0.031159300799350077,0.3280902068835289,0.0768220843853084,0.0,0.1880021521426536,0.009444753759612024,0.04129367971396962
Hydrogen,2050,0.019813916676847478,0.011535966685887267,0.036352517599241754,0.05789827180297569,0.0,1.8738705490165e-08,0.08057235091828012,0.0,0.050019750805336875
Methanol,2050,0.0,0.0002092048967602053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2050,0.0,0.006030856519134281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.13257063756560566,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.00720506060976272,0.0057679833429436335,0.036352517599241754,0.0,0.0,0.014730070840622852,0.0,0.0004970923031374751,0.021437036059430092
Overall Demand,2050,0.0418813212974566,0.0403758834006054,0.1038643359978336,0.3859884786865046,0.0768220843853084,0.147300727144934,0.2685745030609337,0.0099418460627495,0.1127504665787366
