FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.0,0.0002346845765005,0.00017549694042690557,0.00198962280562981,0.0002382038373177713,0.0,0.0007320087717728961,0.00032231640300376443,0.0
Hydrogen,2030,0.0,0.0,0.0,9.082503198971194e-05,0.0,1.14496555371608e-10,4.850652176654406e-05,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,5.951987479243391e-05,2.730757205598783e-05,0.0,0.0,7.693194052591879e-06,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.00034970138614880174,0.0,0.0,3.4367518627629935e-05,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0016361653114185081,5.882606390479883e-06,0.0003132736250605945,0.001639215615127691,3.5567332786959394e-05,0.0021774643656230002
Fossil Liquids,2030,0.0,0.0,0.0,0.01617614087513678,4.142947176254879e-05,0.0028631520178909503,0.010258442600479745,0.00021528914018667622,0.021323349711036402
Fossil Residuals,2030,0.0,0.0,0.0015044426204403477,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0002970049348188094,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.00010764041636760343,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0,0.0002346845765005,0.0021441047868461,0.0202697629823796,0.0002855159154708,0.0031764257574481,0.0127202342218271,0.0005731728759774,0.0235008140766594
Power,2040,0.0,0.00020364592338415114,0.0003560998716529379,0.0028859283597057607,0.0002872586319304924,0.0,0.0016459497967621463,0.0003495342219081513,0.0013734320803418993
Hydrogen,2040,0.0,9.28755356109572e-06,9.710080762764555e-05,8.322313589156983e-05,0.0,1.1104939605864087e-10,0.0001739537605126555,0.0,0.0002849629009483619
Methanol,2040,0.0,5.572532136657432e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0011398516037934476
Ammonia,2040,0.0,1.857510712219144e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0011398516037934476
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,4.8321516869890936e-05,1.2536462824287777e-05,0.0,0.0,4.026860951958679e-06,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.00016054222682514385,0.0,0.0,1.7989045620224554e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0005058137142091065,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0007511369212514695,5.620831759782151e-06,0.00024841335322245113,0.0008580172691958483,2.8011737728633075e-05,0.0017536270525447845
Fossil Liquids,2040,0.0,0.0,0.0,0.007426203556501369,3.958586980267695e-05,0.0022703641055398347,0.005369593130419477,0.00016955510740302674,0.017172819677096197
Fossil Residuals,2040,0.0,0.0,0.0012213894890893207,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.00024112498586963314,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.0,7.430042848876576e-06,0.00016506907246437123,6.229025821330108e-05,1.2174451134485391e-06,5.620152380101183e-05,7.428195685508959e-05,5.036196475488886e-06,0.0002849629009483619
Overall Demand,2040,0.0,0.000227793562643,0.0021291057435738,0.0113818609212129,0.0003336827786064,0.0030807928078218,0.0081438118203174,0.0005521372635153,0.0231495078194665
Power,2050,0.0,0.00010291068849921213,0.0011021353136618,0.007106095718654005,0.000363820049156522,0.0,0.004032210060174615,0.00051744286100202,0.007412904611902637
Hydrogen,2050,0.0,2.572767212480303e-05,0.000500970597119,0.00014960201512955802,0.0,1.062464664409631e-10,0.00047437765413819,0.0,0.0015380467901517265
Methanol,2050,0.0,1.5436603274881818e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.006152187160606906
Ammonia,2050,0.0,5.145534424960607e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.006152187160606906
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0026527925699688,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.0,2.0582137699842428e-05,0.0004007764776952,0.000224403022694337,7.424898962378e-06,0.00029475472999653337,0.000237188827069095,2.7233834789580003e-05,0.0015380467901517265
Overall Demand,2050,0.0,0.0001698026360237,0.002003882388476,0.0074801007564779,0.0003712449481189,0.0029475474062118,0.0047437765413819,0.0005446766957916,0.0227933725134199
