FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.008772404736130515,0.0209314987340594,0.002662064146729616,0.010666734178122509,0.010084945861675201,0.0,0.0031798127942980004,0.0038211923821699443,0.0
Hydrogen,2030,0.005275666120273808,0.0,0.0,0.0004855637661415005,0.0,1.1152298791855606e-09,0.00018272313703080002,0.0,0.0
Methanol,2030,0.0,0.000122154073729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0087295806480445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.0014823725983592088,0.00014685974860800013,0.0,0.0,5.035198728409828e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0018695820090590014,0.0,0.0,0.00016350933967690002,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.008898802267367707,0.00024905462330720003,0.0029406862632813022,0.007502952375556701,0.0004216652327744938,0.0001424131506473
Fossil Liquids,2030,0.0,0.0,0.0,0.08829551818042428,0.0017540186779005005,0.026856640122734015,0.048797634000050605,0.0025523405410915628,0.001018155413845
Fossil Residuals,2030,0.04748099508246478,0.0,0.0174512914666436,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.012365684298950073,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0004566597868233027,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0615290659388691,0.0297832334558329,0.0344180722975058,0.110363060149723,0.0120880191628829,0.0297973275012452,0.0598769836338971,0.006795198156036,0.0011605685644923
Power,2040,0.012165757563708478,0.02067253784070418,0.00592369504808917,0.0157996147775016,0.012161801354414414,0.0,0.007332595441876781,0.004143870723351555,0.0001385977397442053
Hydrogen,2040,0.009183391350369533,0.0013415007696200268,0.0016516442789451262,0.000275493060019855,0.0,1.0820243821911349e-09,0.00012415015434690766,0.0,0.0
Methanol,2040,0.0,0.001171835093465612,0.0,0.0005711415187855315,0.0,0.0,0.0014843257885272917,0.0,4.1579321923261604e-05
Ammonia,2040,0.0,0.00862157978141016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.0012752316045933757,6.812311478777037e-05,0.0,0.0,2.7970334605266205e-05,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.0008672338814104351,0.0,0.0,9.082880713415967e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.004746550178132019,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.004127843974128513,0.00023797174988135072,0.002332645101132761,0.004167861087341314,0.00033209057256308424,0.0001088877746795143
Fossil Liquids,2040,0.0,0.0,0.0,0.040957211062004,0.0016759652503607564,0.021303534075504445,0.027106897354928754,0.0020101449343829813,0.0007784721901564352
Fossil Residuals,2040,0.04049651148287559,0.0,0.015012715726037663,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.01063775156657614,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,0.002341889481691702,0.0010732006156960214,0.0017141633436779256,0.0,5.15435359771781e-05,0.000527394464236891,0.00037108144713182293,5.9706162726780036e-05,1.7819709395683546e-05
Overall Demand,2040,0.0641875498786453,0.032880654100896,0.0362152015679194,0.0626666613886377,0.0141272818906337,0.0289101249010305,0.0407057104158923,0.0065458123930244,0.0010853567358991
Power,2050,0.026699295919966844,0.015313898511493458,0.020867156631113267,0.03926779113247133,0.015403217431124697,0.0,0.018806906301361025,0.006134496104582729,0.0006939161508536601
Hydrogen,2050,0.026699295919966844,0.005447500681647168,0.009485071195960575,0.00018185925353983565,0.0,1.034584450634046e-09,7.65226014777312e-05,0.0,0.0
Methanol,2050,0.0,0.0043580005453177344,0.0,0.0020667258490774383,0.0,0.0,0.0050151750136962735,0.0,0.00020817484525609804
Ammonia,2050,0.0,0.006386733878473904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gases,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.024878338583590124,0.0,0.0,0.0
Biogenic Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Liquids,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Residuals,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2050,0.013349647959983422,0.0043580005453177344,0.007588056956768461,0.0,0.000314351376145402,0.002764259842621125,0.0012537937534240684,0.00032286821603067,8.921779082404203e-05
Overall Demand,2050,0.0667482397999171,0.03586413416225,0.0379402847838423,0.0415163762350886,0.0157175688072701,0.0276425994607957,0.0251523976699591,0.0064573643206134,0.0009913087869338
